,timestamp,photoIndex,V,geometry,pictureUrl
26954,1496843262.65,87.0,25.9587062474,POINT (-73.97334012499999 40.65042064),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_c22fe_5938484964dad.jpg
27172,1496843264.64,88.0,49.5061390261,POINT (-73.973204685 40.650460755),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_280a6_5938484e11593.jpg
27396,1496843266.64,89.0,29.3419891111,POINT (-73.973086825 40.650503035),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_22f8a_5938484cbb9fd.jpg
27566,1496843268.66,90.0,41.4104136401,POINT (-73.97297550499999 40.65054665),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_3ff38_5938484e6bca5.jpg
27874,1496843271.64,91.0,50.6004268602,POINT (-73.97278711999999 40.6505955),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_564ff_5938484f949b6.jpg
28077,1496843273.64,92.0,84.9665300759,POINT (-73.97264222000001 40.650604295),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_57a19_59384850c78ce.jpg
28288,1496843275.64,93.0,110.341561027,POINT (-73.9725351 40.650580245),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_8971c_59384853bcc42.jpg
28588,1496843278.64,94.0,65.6492431605,POINT (-73.97238122 40.65052815),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_09555_59384853652dd.jpg
28890,1496843281.65,95.0,125.245750964,POINT (-73.97223951000001 40.650521015),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_7c282_59384854a2a3e.jpg
29189,1496843284.65,96.0,104.146341526,POINT (-73.97213177500001 40.65050058),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_45fca_59384854a8d77.jpg
29505,1496843287.65,97.0,47.7396903558,POINT (-73.97197236 40.650523435),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_c326b_593848567ffcb.jpg
29803,1496843290.64,98.0,32.7801011749,POINT (-73.97182126999999 40.650574315),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_15a7b_59384857e8461.jpg
30113,1496843293.65,99.0,32.3094775617,POINT (-73.97168889 40.650634795),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_467ee_59384859dddad.jpg
30447,1496843296.65,100.0,22.9450885123,POINT (-73.97157455999999 40.65072785),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_1acf4_59384858eb80b.jpg
30619,1496843298.65,101.0,29.2750031917,POINT (-73.97151789 40.650803745),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_10102_5938485a4b6d4.jpg
30926,1496843301.66,102.0,26.6311408391,POINT (-73.97146098499999 40.65091605),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_fdedd_5938485c1a0fa.jpg
31230,1496843304.64,103.0,14.088087855,POINT (-73.971426665 40.65103441000001),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_4ef39_5938485cba87b.jpg
31548,1496843307.66,104.0,2.01117180882,POINT (-73.97143875499999 40.651077855),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_d97a4_5938486198481.jpg
32178,1496843313.66,105.0,4.89328655512,POINT (-73.97148748500001 40.651047085),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_f867e_5938485e09cdb.jpg
36216,1496843353.66,106.0,92.6867438,POINT (-73.97155857 40.65118392),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_72eec_59384861d0d0c.jpg
36514,1496843356.68,107.0,108.478622221,POINT (-73.97165659999999 40.65127246),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_23949_593848619de62.jpg
